City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,souillac,-20.5167,57.5167,29.21,70,75,3.6,MU,1674293910
212,moa,20.6569,-74.9403,21.84,83,83,3.21,CU,1674293911
213,presidencia roque saenz pena,-26.7852,-60.4388,27.73,46,1,3.78,AR,1674293912
214,quimper,48.0,-4.1,3.31,93,0,2.06,FR,1674293568
215,dinghai,26.2847,119.7936,10.51,86,100,5.54,CN,1674293914
216,bethel,41.3712,-73.414,3.05,71,100,2.57,US,1674293914
217,bengkulu,-3.8004,102.2655,27.55,76,66,3.05,ID,1674293915
218,aklavik,68.2191,-135.0107,-27.45,100,92,2.35,CA,1674293916
219,komsomolskiy,40.4272,71.7189,1.4,47,50,2.06,UZ,1674293917
220,huarmey,-10.0681,-78.1522,20.94,84,76,2.32,PE,1674293917
221,mao,39.8885,4.2658,8.31,49,40,10.29,ES,1674293919
222,hithadhoo,-0.6,73.0833,27.04,66,21,8.47,MV,1674293919
223,alugan,12.2188,125.4808,25.87,86,51,7.96,PH,1674293920
224,kirksville,40.1948,-92.5833,-8.03,93,0,0.0,US,1674293921
225,soyo,-6.1349,12.3689,27.3,72,99,0.36,AO,1674293922
226,nizwa,22.9333,57.5333,20.62,42,55,2.1,OM,1674293922
227,port lincoln,-34.7333,135.8667,17.37,75,5,9.58,AU,1674293924
228,santa rosa,14.3122,121.1114,27.99,79,73,6.42,PH,1674293924
229,kruisfontein,-34.0033,24.7314,27.16,57,77,5.24,ZA,1674293925
230,west wendover,40.7391,-114.0733,-8.44,79,0,2.06,US,1674293671
231,comodoro rivadavia,-45.8667,-67.5,14.92,94,0,1.03,AR,1674293927
232,meulaboh,4.1363,96.1285,25.41,79,100,2.16,ID,1674293927
233,taoudenni,22.6783,-3.9836,19.02,14,99,5.9,ML,1674293928
234,sovetskiy,61.3614,63.5842,-0.77,79,99,4.22,RU,1674293929
235,calarca,4.5295,-75.6409,14.25,96,78,1.23,CO,1674293929
236,muros,42.7762,-9.0603,13.38,95,75,5.71,ES,1674293930
237,sao filipe,14.8961,-24.4956,21.71,67,2,7.26,CV,1674293931
238,bud,39.447,-86.1758,0.01,83,29,2.23,US,1674293932
239,richards bay,-28.783,32.0377,35.27,35,81,4.68,ZA,1674293932
240,provideniya,64.3833,-173.3,-29.99,93,17,2.37,RU,1674293934
